Pay Period,Employee Title,Employee Code,Region,Client Session ($),Client Session Hours,Revenue ($),Billable Hours,,Pay Period,Employee Code,Ratio of Client Sessions hr to Billabla hr
7/28/2023,Behavior Technician,818,Sacramento,231,10.5,637.36,13,,7/28/2023,818,0.807692308
7/28/2023,Behavior Technician,843,Central Valley,598.5,28.5,970.2,19.65,,7/28/2023,843,1.450381679
7/28/2023,Behavior Technician,864,Georgia,963.5,41,2155.936,44.5,,7/28/2023,864,0.921348315
7/28/2023,Behavior Technician,873,Central Valley,928.4,42.2,2138.944,40.94,,7/28/2023,873,1.030776746
7/28/2023,Behavior Technician,879,Southern California,1023.62,47.61,2281.8,46.3,,7/28/2023,879,1.028293737
7/28/2023,Behavior Technician,883,Southern California,903,42,2022.4,40.3,,7/28/2023,883,1.042183623
7/28/2023,Behavior Technician,886,Central Valley,519.75,24.75,1045,24.11,,7/28/2023,886,1.026545002
7/28/2023,Behavior Technician,900,Central Valley,1087.17,51.77,3086.4,57.98,,7/28/2023,900,0.892894101
7/28/2023,Behavior Technician,903,Bay Area,885.33,32.79,1464.52,31.75,,7/28/2023,903,1.032755906
7/28/2023,Associate Behavior Technician,912,Central Valley,522,29,999,28.15,,7/28/2023,912,1.030195382
7/28/2023,Behavior Technician,947,Georgia,1578.94,71.77,3464.032,71.5,,7/28/2023,947,1.003776224
7/28/2023,Behavior Technician,952,Central Valley,737,33.5,1775.2,31.75,,7/28/2023,952,1.05511811
7/28/2023,Behavior Technician,961,Central Valley,947.75,44.02,2279.2,39,,7/28/2023,961,1.128717949
7/28/2023,Behavior Technician,1097,Bay Area,1447.18,50.11,2626.4,48.08,,7/28/2023,1097,1.042221298
7/28/2023,Behavior Technician,1105,Bay Area,1038.87,31.5,1684.024,28.75,,7/28/2023,1105,1.095652174
7/28/2023,Behavior Technician,1125,Southern California,545.37,21,899.664,19.98,,7/28/2023,1125,1.051051051
7/28/2023,Behavior Technician,1156,Georgia,1099.48,32.5,1887.6,32.5,,7/28/2023,1156,1
7/28/2023,Behavior Technician,1158,Central Valley,567.39,21.5,1100.752,21.5,,7/28/2023,1158,1
7/28/2023,Behavior Technician,1177,Sacramento,1300.32,48,2899.4,49.65,,7/28/2023,1177,0.966767372
7/28/2023,Behavior Technician,1183,Central Valley,970.3,41.95,2038,39.07,,7/28/2023,1183,1.073713847
7/28/2023,Behavior Technician,1291,Bay Area,578.94,17.83,1233.8,20.83,,7/28/2023,1291,0.855976956
7/28/2023,Behavior Technician,1327,Sacramento,48.54,2,100.8,2,,7/28/2023,1327,1
7/28/2023,Behavior Technician,1388,Central Valley,923.17,38.61,2005.4,37.78,,7/28/2023,1388,1.021969296
7/28/2023,Behavior Technician,1390,Bay Area,1542.3,51.41,2956.912,51.5,,7/28/2023,1390,0.998252427
7/28/2023,Behavior Technician,1401,Central Valley,793.28,32,1602,31.15,,7/28/2023,1401,1.027287319
7/28/2023,Behavior Technician,1418,Central Valley,1155,52.5,2567.2,50,,7/28/2023,1418,1.05
7/28/2023,Behavior Technician,1449,Bay Area,1151.69,41,2325.128,40.15,,7/28/2023,1449,1.02117061
7/28/2023,Behavior Technician,1491,Southern California,400.63,16.94,704,15.92,,7/28/2023,1491,1.064070352
7/28/2023,Behavior Technician,1503,Sacramento,737.26,26.34,1208.128,26,,7/28/2023,1503,1.013076923
7/28/2023,Behavior Technician,1515,Central Valley,286,12.5,622.6,12.16,,7/28/2023,1515,1.027960526
7/28/2023,Behavior Technician,1516,Central Valley,1539.26,60.01,2953,58.06,,7/28/2023,1516,1.033585946
7/28/2023,Behavior Technician,1529,Central Valley,602.09,24.89,1436,24.55,,7/28/2023,1529,1.013849287
7/28/2023,Behavior Technician,1557,Central Valley,1024.98,46.59,2590,46.59,,7/28/2023,1557,1
7/28/2023,Behavior Technician,1579,Southern California,674.24,24.5,1049.624,23.31,,7/28/2023,1579,1.051051051
7/28/2023,Behavior Technician,1585,Bay Area,1083.86,35.63,1789.2,35.45,,7/28/2023,1585,1.005077574
7/28/2023,Behavior Technician,1598,Sacramento,631.02,26,1195.2,26,,7/28/2023,1598,1
7/28/2023,Behavior Technician,1617,Sacramento,707.2,26,1320.36,25.31,,7/28/2023,1617,1.027261952
7/28/2023,Behavior Technician,1647,Ohio,171.85,7,397.824,7,,7/28/2023,1647,1
7/28/2023,Behavior Technician,1650,Southern California,1268.4,45.3,2061.8,43.99,,7/28/2023,1650,1.029779495
7/28/2023,Behavior Technician,1677,Central Valley,1329.76,60.17,3718.304,68.73,,7/28/2023,1677,0.875454678
7/28/2023,Behavior Technician,1686,Central Valley,811.65,38.65,1962,38.5,,7/28/2023,1686,1.003896104
7/28/2023,Behavior Technician,1706,Sacramento,811.05,34.69,1887.6,37.43,,7/28/2023,1706,0.926796687
7/28/2023,Behavior Technician,1731,Central Valley,825.13,30.47,1712.808,29.54,,7/28/2023,1731,1.031482735
7/28/2023,Behavior Technician,1733,Southern California,1188.87,47.65,3438,47.48,,7/28/2023,1733,1.003580455
7/28/2023,Behavior Technician,1746,Bay Area,354.72,12,604.8,12,,7/28/2023,1746,1
7/28/2023,Behavior Technician,1765,Sacramento,1366.53,58.15,3085.336,58.71,,7/28/2023,1765,0.990461591
7/28/2023,Behavior Technician,1903,Central Valley,412.45,17.25,870.8,16.57,,7/28/2023,1903,1.041038021
7/28/2023,Behavior Technician,1917,Central Valley,1453.53,62.17,3189.6,61.07,,7/28/2023,1917,1.018012117
7/28/2023,Behavior Technician,1950,Central Valley,1101.66,48.66,2832.416,48.11,,7/28/2023,1950,1.011432135
7/28/2023,Behavior Technician,1951,Southern California,328.8,13.7,586.312,13.02,,7/28/2023,1951,1.052227343
7/28/2023,Behavior Technician,1953,Bay Area,545,20,944,20,,7/28/2023,1953,1
7/28/2023,Behavior Technician,1988,Bay Area,1297.19,50.87,2659.392,52,,7/28/2023,1988,0.978269231
7/28/2023,Behavior Technician,2008,Sacramento,1858.8,65.52,3188.12,62.81,,7/28/2023,2008,1.043145996
7/28/2023,Behavior Technician,2012,Central Valley,1239,59,3102.4,59,,7/28/2023,2012,1
7/28/2023,Behavior Technician,2016,Central Valley,1125.37,48.32,2619.528,47.66,,7/28/2023,2016,1.013848091
7/28/2023,Behavior Technician,2017,Central Valley,247.3,10,560,10,,7/28/2023,2017,1
7/28/2023,Behavior Technician,2033,Sacramento,1138.54,39.26,2408.8,39.57,,7/28/2023,2033,0.992165782
7/28/2023,Behavior Technician,2118,Southern California,798.53,35.49,1450.736,34.88,,7/28/2023,2118,1.017488532
7/28/2023,Behavior Technician,2133,Southern California,481.6,17.5,749.736,16.65,,7/28/2023,2133,1.051051051
7/28/2023,Behavior Technician,2143,Sacramento,293.48,13.34,753.856,13.84,,7/28/2023,2143,0.963872832
7/28/2023,Associate Behavior Technician,2155,Sacramento,1365.31,57.73,2860.2,57.02,,7/28/2023,2155,1.012451771
7/28/2023,Behavior Technician,2163,Sacramento,1523.33,60.86,2745,60.27,,7/28/2023,2163,1.009789282
7/28/2023,Behavior Technician,2206,Pacific Northwest,1416,47.2,2448.664,48.38,,7/28/2023,2206,0.975609756
7/28/2023,Behavior Technician,2251,Pacific Northwest,64.78,2.68,154,2.67,,7/28/2023,2251,1.003745318
7/28/2023,Behavior Technician,2291,Sacramento,1096.43,39.87,1833.2,39.5,,7/28/2023,2291,1.009367089
7/28/2023,Behavior Technician,2314,Southern California,560.01,23.83,1216,23.83,,7/28/2023,2314,1
7/28/2023,Behavior Technician,2493,Central Valley,775.38,33.83,2063.4,35.32,,7/28/2023,2493,0.95781427
7/28/2023,Behavior Technician,2494,Sacramento,1143.3,49.28,2205.696,47.17,,7/28/2023,2494,1.044731821
7/28/2023,Associate Behavior Technician,2556,Pacific Northwest,766.26,34.83,1715.44,34.49,,7/28/2023,2556,1.00985793
7/28/2023,Behavior Technician,2597,Central Valley,682.5,32.5,1596.768,30,,7/28/2023,2597,1.083333333
7/28/2023,Behavior Technician,2729,Pacific Northwest,510.83,20.85,1120,20,,7/28/2023,2729,1.0425
7/28/2023,Behavior Technician,2737,Bay Area,1011.91,37.34,1977.6,39.4,,7/28/2023,2737,0.947715736
7/28/2023,Behavior Technician,2739,Bay Area,1329.3,44.31,2142,42.42,,7/28/2023,2739,1.044554455
7/28/2023,Behavior Technician,2763,Central Valley,1043.7,49.7,2554,48.38,,7/28/2023,2763,1.027284002
7/28/2023,Behavior Technician,2792,Central Valley,1192.24,53.32,2283.2,50.72,,7/28/2023,2792,1.05126183
7/28/2023,Behavior Technician,2818,Bay Area,1072.87,38.83,2087.568,39.58,,7/28/2023,2818,0.981051036
7/28/2023,Behavior Technician,2838,Sacramento,606.76,27.58,898,19,,7/28/2023,2838,1.451578947
7/28/2023,Behavior Technician,2840,Sacramento,144.76,6.58,847.8,19.12,,7/28/2023,2840,0.344142259
7/28/2023,Behavior Technician,2847,Central Valley,1239.88,45.5,2305.2,44.16,,7/28/2023,2847,1.030344203
7/28/2023,Behavior Technician,2888,Central Valley,1215.27,45.01,2135.568,43.82,,7/28/2023,2888,1.02715655
7/28/2023,Behavior Technician,2955,Central Valley,967.5,43.25,2019.6,43.5,,7/28/2023,2955,0.994252874
7/28/2023,Behavior Technician,2958,Sacramento,500.06,22,1117.024,21.32,,7/28/2023,2958,1.031894934
7/28/2023,Behavior Technician,3000,Bay Area,908.9,34.35,1709.576,33.67,,7/28/2023,3000,1.02019602
7/28/2023,Behavior Technician,3016,Central Valley,1127.49,49,2759.312,45,,7/28/2023,3016,1.088888889
7/28/2023,Behavior Technician,3024,Sacramento,961.01,37.85,2172,34.71,,7/28/2023,3024,1.090463843
7/28/2023,Behavior Technician,3026,Sacramento,770.27,33.49,2298.8,40.68,,7/28/2023,3026,0.823254671
7/28/2023,Behavior Technician,3046,Central Valley,1579.06,67.51,3501.4,66.91,,7/28/2023,3046,1.008967269
7/28/2023,Behavior Technician,3049,Sacramento,920.7,40.17,2089.136,39.66,,7/28/2023,3049,1.012859304
7/28/2023,Behavior Technician,3052,Central Valley,422.18,19.5,1092,19.5,,7/28/2023,3052,1
7/28/2023,Behavior Technician,3110,Central Valley,900.48,42.88,2505.8,47.54,,7/28/2023,3110,0.901977282
7/28/2023,Behavior Technician,3165,Bay Area,654.82,22.58,1285.2,25.46,,7/28/2023,3165,0.886881383
7/28/2023,Behavior Technician,3169,Sacramento,319.66,14.53,1257.496,24.17,,7/28/2023,3169,0.601158461
7/28/2023,Behavior Technician,3249,Bay Area,940.5,33,1590.44,32.75,,7/28/2023,3249,1.007633588
7/28/2023,Behavior Technician,3271,Sacramento,170.53,7.44,372.6,7.44,,7/28/2023,3271,1
7/28/2023,Behavior Technician,3280,Georgia,553.56,26.36,1234.736,25.58,,7/28/2023,3280,1.030492572
7/28/2023,Behavior Technician,3297,Bay Area,276.55,10.02,504,10,,7/28/2023,3297,1.002
7/28/2023,Behavior Technician,3317,Pacific Northwest,436.5,18,1008,18,,7/28/2023,3317,1
7/28/2023,Behavior Technician,3360,Central Valley,362.25,17.25,1036,18.82,,7/28/2023,3360,0.916578108
7/28/2023,Behavior Technician,3370,Central Valley,623.43,21.73,891,20.25,,7/28/2023,3370,1.07308642
7/28/2023,Behavior Technician,3374,Sacramento,506.22,23.01,1012.6,22.22,,7/28/2023,3374,1.035553555
7/28/2023,Behavior Technician,3427,Ohio,850.5,40.5,2006.912,38,,7/28/2023,3427,1.065789474
7/28/2023,Behavior Technician,3471,Georgia,151.25,5.5,720,9,,7/28/2023,3471,0.611111111
7/28/2023,Behavior Technician,3478,Pacific Northwest,243.72,9,449.52,9,,7/28/2023,3478,1
7/28/2023,Behavior Technician,3527,Georgia,47.39,1.87,134.4,1.87,,7/28/2023,3527,1
7/28/2023,Behavior Technician,3584,Ohio,11.28,0.47,28.416,0.47,,7/28/2023,3584,1
7/28/2023,Behavior Technician,3638,Central Valley,663.62,30.33,1409.4,30.41,,7/28/2023,3638,0.997369286
7/28/2023,Behavior Technician,3643,Central Valley,1468.28,66.74,3551.2,66.8,,7/28/2023,3643,0.999101796
7/28/2023,Behavior Technician,3672,Bay Area,99.3,3.74,176.4,3.57,,7/28/2023,3672,1.047619048
7/28/2023,Behavior Technician,3715,Bay Area,983.76,40.99,2345.04,46.5,,7/28/2023,3715,0.881505376
7/28/2023,Behavior Technician,3812,Southern California,826.38,38.17,1619.392,36,,7/28/2023,3812,1.060277778
7/28/2023,Behavior Technician,3819,Southern California,763.54,33.43,1419,32.46,,7/28/2023,3819,1.029882933
7/28/2023,Behavior Technician,3824,Central Valley,708.75,33.75,1693.2,34.06,,7/28/2023,3824,0.990898415
7/28/2023,Behavior Technician,3841,Bay Area,1277.5,50,2154.6,43.47,,7/28/2023,3841,1.150218542
7/28/2023,Behavior Technician,3842,Bay Area,1631.52,63.36,4274,61.83,,7/28/2023,3842,1.024745269
7/28/2023,Behavior Technician,3850,Bay Area,823.99,32.25,1593.4,32.25,,7/28/2023,3850,1
7/28/2023,Behavior Technician,3851,Central Valley,109.83,5.23,294,5.23,,7/28/2023,3851,1
7/28/2023,Behavior Technician,3885,Georgia,751.59,31.5,1572.48,31.5,,7/28/2023,3885,1
7/28/2023,Behavior Technician,3895,Bay Area,1567.45,54.05,2962.8,51.19,,7/28/2023,3895,1.055870287
7/28/2023,Behavior Technician,3935,Central Valley,492.45,23.45,1134.4,23.54,,7/28/2023,3935,0.99617672
7/28/2023,Behavior Technician,3992,Central Valley,514.5,24.5,1372,24.5,,7/28/2023,3992,1
7/28/2023,Behavior Technician,4018,Central Valley,648.55,29.07,1345.4,28.37,,7/28/2023,4018,1.024673951
7/28/2023,Behavior Technician,4115,Central Valley,735,35,1675.8,33.81,,7/28/2023,4115,1.035196687
7/28/2023,Behavior Technician,4135,Bay Area,1959,65.3,3331.8,67.33,,7/28/2023,4135,0.969849993
7/28/2023,Behavior Technician,4142,Central Valley,724.5,34.5,2002,33.14,,7/28/2023,4142,1.041038021
7/28/2023,Behavior Technician,4144,Pacific Northwest,1203.75,53.5,2817.912,53.5,,7/28/2023,4144,1
7/28/2023,Behavior Technician,4146,Sacramento,897.02,39.85,2080,39.01,,7/28/2023,4146,1.02153294
7/28/2023,Behavior Technician,4147,Georgia,776.22,34,1771.92,34.5,,7/28/2023,4147,0.985507246
7/28/2023,Behavior Technician,4154,Southern California,791.85,36.83,1589.712,35.47,,7/28/2023,4154,1.038342261
7/28/2023,Behavior Technician,4155,Sacramento,1156.26,55.06,2891.8,56.28,,7/28/2023,4155,0.978322672
7/28/2023,Behavior Technician,4170,Central Valley,1052.48,47.84,2560.544,48.41,,7/28/2023,4170,0.988225573
7/28/2023,Behavior Technician,4230,Central Valley,1047.27,49.87,1964,46.64,,7/28/2023,4230,1.069253859
7/28/2023,Behavior Technician,4254,Pacific Northwest,1548.72,64.53,3043.144,57.79,,7/28/2023,4254,1.116629175
7/28/2023,Behavior Technician,4259,Pacific Northwest,591.49,22.32,1141.336,22.66,,7/28/2023,4259,0.984995587
7/28/2023,Behavior Technician,4294,Pacific Northwest,887.88,31.71,1653.608,32.94,,7/28/2023,4294,0.962659381
7/28/2023,Behavior Technician,4298,Sacramento,888.14,40.37,1377,38.21,,7/28/2023,4298,1.056529704
7/28/2023,Behavior Technician,4308,Central Valley,1168.83,53.42,2662.168,52.39,,7/28/2023,4308,1.019660241
7/28/2023,Behavior Technician,4329,Central Valley,761.91,36.42,2176.6,35.36,,7/28/2023,4329,1.029977376
7/28/2023,Behavior Technician,4330,Bay Area,1158.56,44.56,2143.24,44.31,,7/28/2023,4330,1.005642067
7/28/2023,Behavior Technician,4347,Central Valley,830.8,41.54,2225.744,39.88,,7/28/2023,4347,1.041624875
7/28/2023,Behavior Technician,4384,Bay Area,366.1,14,982.72,14,,7/28/2023,4384,1
7/28/2023,Behavior Technician,4388,Pacific Northwest,343.06,13.94,577.112,12.42,,7/28/2023,4388,1.122383253
7/28/2023,Behavior Technician,4425,Central Valley,619.42,30.26,1544.2,30.74,,7/28/2023,4425,0.984385166
7/28/2023,Behavior Technician,4428,Georgia,1024.08,42.67,1670.56,34.5,,7/28/2023,4428,1.236811594
7/28/2023,Behavior Technician,4452,Southern California,1004.96,44,2006.136,40.73,,7/28/2023,4452,1.080284802
7/28/2023,Behavior Technician,4500,Central Valley,1035.76,47.08,2321,47.97,,7/28/2023,4500,0.981446738
7/28/2023,Behavior Technician,4501,Central Valley,917.28,43.68,2280.6,40.41,,7/28/2023,4501,1.080920564
7/28/2023,Behavior Technician,4513,Bay Area,401.63,15.75,793.6,15.5,,7/28/2023,4513,1.016129032
7/28/2023,Behavior Technician,4539,Sacramento,522.5,23.75,1360.8,27,,7/28/2023,4539,0.87962963
7/28/2023,Behavior Technician,4541,Ohio,337.5,13.5,738.288,13.5,,7/28/2023,4541,1
7/28/2023,Behavior Technician,4545,Pacific Northwest,963.5,41,2134.672,41,,7/28/2023,4545,1
7/28/2023,Behavior Technician,4556,Georgia,1199.16,53.75,3713.296,55.75,,7/28/2023,4556,0.964125561
7/28/2023,Behavior Technician,4570,Central Valley,1465.68,68.65,3450.84,67.71,,7/28/2023,4570,1.013882735
7/28/2023,Behavior Technician,4573,Central Valley,1331,60.5,3180.8,53.75,,7/28/2023,4573,1.125581395
7/28/2023,Behavior Technician,4592,Southern California,118.25,5.5,231,5.33,,7/28/2023,4592,1.031894934
7/28/2023,Behavior Technician,4615,Georgia,1047.53,44.5,2305.632,43.5,,7/28/2023,4615,1.022988506
7/28/2023,Behavior Technician,4631,Central Valley,259.77,12.37,534.8,10.12,,7/28/2023,4631,1.222332016
7/28/2023,Behavior Technician,4677,Sacramento,918.91,40.75,2607.76,40.08,,7/28/2023,4677,1.016716567
7/28/2023,Behavior Technician,4720,Central Valley,955.5,45.5,2447.2,46.16,,7/28/2023,4720,0.985701906
7/28/2023,Behavior Technician,4722,Sacramento,687.54,32.74,1401.6,31.34,,7/28/2023,4722,1.044671347
7/28/2023,Behavior Technician,4727,Southern California,1042.75,48.5,2271.792,46.31,,7/28/2023,4727,1.047290002
7/28/2023,Behavior Technician,4775,Pacific Northwest,837.98,38.09,1860.752,45.98,,7/28/2023,4775,0.828403654
7/28/2023,Behavior Technician,4792,Georgia,1100.4,52.4,2688.864,55.43,,7/28/2023,4792,0.94533646
7/28/2023,Behavior Technician,4801,Pacific Northwest,1171.06,53.23,2986.512,57.31,,7/28/2023,4801,0.928808236
7/28/2023,Behavior Technician,4830,Georgia,265,13.25,641.512,13.25,,7/28/2023,4830,1
7/28/2023,Behavior Technician,4836,Georgia,1133,51.5,2494.576,51.5,,7/28/2023,4836,1
7/28/2023,Behavior Technician,4841,Southern California,1061.06,48.23,2999.776,43.32,,7/28/2023,4841,1.113342567
7/28/2023,Behavior Technician,4849,Georgia,1250.25,56.04,3185.936,62.59,,7/28/2023,4849,0.895350695
7/28/2023,Behavior Technician,4854,Bay Area,1264.41,46.83,2664.04,51.83,,7/28/2023,4854,0.903530774
7/28/2023,Behavior Technician,4873,Sacramento,959.27,40.82,1942.2,41.99,,7/28/2023,4873,0.972136223
7/28/2023,Behavior Technician,4953,Georgia,120.75,5.75,1815.616,37.5,,7/28/2023,4953,0.153333333
7/28/2023,Behavior Technician,4995,Central Valley,1276.22,58.01,2400,58.66,,7/28/2023,4995,0.988919195
7/28/2023,Behavior Technician,5020,Southern California,474.1,21.55,899.712,19.98,,7/28/2023,5020,1.078578579
7/28/2023,Behavior Technician,5030,Southern California,482.67,26.09,1172.864,24,,7/28/2023,5030,1.087083333
7/28/2023,Behavior Technician,5039,Georgia,1320,60,2465.28,48,,7/28/2023,5039,1.25
7/28/2023,Behavior Technician,5068,Bay Area,975.51,36.13,1852.2,36.8,,7/28/2023,5068,0.981793478
7/28/2023,Behavior Technician,5078,Sacramento,772.82,34,1326.4,26.65,,7/28/2023,5078,1.275797373
7/28/2023,Behavior Technician,5083,Pacific Northwest,667.33,27.91,1385.704,27.88,,7/28/2023,5083,1.00107604
7/28/2023,Behavior Technician,5089,Georgia,87.16,4,193.664,4,,7/28/2023,5089,1
7/28/2023,Behavior Technician,5119,Central Valley,587.42,26.33,1450,26.75,,7/28/2023,5119,0.984299065
7/28/2023,Behavior Technician,5125,Central Valley,834,37.5,1929.96,37.25,,7/28/2023,5125,1.006711409
7/28/2023,Behavior Technician,5127,Bay Area,276.3,10,504,10,,7/28/2023,5127,1
7/28/2023,Associate Behavior Technician,5131,Southern California,231.25,12.5,550,12.5,,7/28/2023,5131,1
7/28/2023,Behavior Technician,5148,Sacramento,709.5,32.25,1639.2,32.25,,7/28/2023,5148,1
7/28/2023,Behavior Technician,5149,Ohio,888.09,42.29,2411.08,42.98,,7/28/2023,5149,0.983946021
7/28/2023,Behavior Technician,5228,Georgia,822.02,35.31,1744.128,36.06,,7/28/2023,5228,0.979201331
7/28/2023,Behavior Technician,5235,Bay Area,675,25,1209.6,24,,7/28/2023,5235,1.041666667
7/28/2023,Behavior Technician,5248,Pacific Northwest,591.84,21.92,1171.056,21.75,,7/28/2023,5248,1.007816092
7/28/2023,Behavior Technician,5309,Sacramento,434.47,18.89,799.8,15.99,,7/28/2023,5309,1.181363352
7/28/2023,Behavior Technician,5313,Central Valley,802.34,37.9,1983.2,38.07,,7/28/2023,5313,0.995534542
7/28/2023,Behavior Technician,5341,Georgia,1389.38,63.5,3423.2,63.5,,7/28/2023,5341,1
7/28/2023,Behavior Technician,5359,Central Valley,677.25,32.25,1573.4,31.43,,7/28/2023,5359,1.026089723
7/28/2023,Associate Behavior Technician,5371,Central Valley,859.32,40.92,2287.6,44.31,,7/28/2023,5371,0.923493568
7/28/2023,Behavior Technician,5416,Georgia,839.3,38.15,2138.208,32.15,,7/28/2023,5416,1.186625194
7/28/2023,Behavior Technician,5422,Ohio,966.83,42.97,2371.568,43.5,,7/28/2023,5422,0.987816092
7/28/2023,Behavior Technician,5426,Sacramento,1197.24,54.42,2934,51.52,,7/28/2023,5426,1.05628882
7/28/2023,Behavior Technician,5434,Pacific Northwest,462.4,20,987.52,19.33,,7/28/2023,5434,1.034661148
7/28/2023,Behavior Technician,5438,Central Valley,977.97,46.57,2684,45.08,,7/28/2023,5438,1.033052351
7/28/2023,Behavior Technician,5460,Pacific Northwest,903.35,38.44,1847.52,36.74,,7/28/2023,5460,1.046271094
7/28/2023,Behavior Technician,5465,Georgia,344.25,15.3,775.168,16,,7/28/2023,5465,0.95625
7/28/2023,Behavior Technician,5470,Central Valley,1338.04,60.82,3235.8,58.83,,7/28/2023,5470,1.033826279
7/28/2023,Behavior Technician,5475,Central Valley,975.85,44.6,2409.4,44.94,,7/28/2023,5475,0.992434357
7/28/2023,Behavior Technician,5522,Georgia,1374.66,65.46,3519.248,66.3,,7/28/2023,5522,0.987330317
7/28/2023,Behavior Technician,5528,Georgia,774.9,35,1695.68,35,,7/28/2023,5528,1
7/28/2023,Behavior Technician,5532,Central Valley,343.35,16.35,682,15.5,,7/28/2023,5532,1.05483871
7/28/2023,Behavior Technician,5536,Central Valley,829.69,44.25,2173.4,43.58,,7/28/2023,5536,1.015374025
7/28/2023,Behavior Technician,5545,Georgia,1236.84,56.22,2904.96,60,,7/28/2023,5545,0.937
7/28/2023,Behavior Technician,5547,Central Valley,488.25,22.5,1118,22.16,,7/28/2023,5547,1.01534296
7/28/2023,Behavior Technician,5548,Central Valley,1054.5,55.5,2439,53.33,,7/28/2023,5548,1.040690043
7/28/2023,Behavior Technician,5551,Bay Area,629.5,25.18,1308.784,25.5,,7/28/2023,5551,0.98745098
7/28/2023,Behavior Technician,5561,Bay Area,575,23,1374.984,25.83,,7/28/2023,5561,0.890437476
7/28/2023,Associate Behavior Technician,5568,Central Valley,1217.84,55.66,2897.88,54.57,,7/28/2023,5568,1.019974345
7/28/2023,Behavior Technician,5586,Georgia,777.4,35.53,1982.496,39.39,,7/28/2023,5586,0.902005585
7/28/2023,Behavior Technician,5590,Central Valley,667.71,30.97,1640.8,30.97,,7/28/2023,5590,1
7/28/2023,Behavior Technician,5675,Georgia,315,15,757.56,14.75,,7/28/2023,5675,1.016949153
7/28/2023,Behavior Technician,5676,Sacramento,639.76,29.08,1588.2,29.01,,7/28/2023,5676,1.002412961
7/28/2023,Behavior Technician,5742,Georgia,1298,59,2751.512,52.16,,7/28/2023,5742,1.131134969
7/28/2023,Behavior Technician,5751,Central Valley,949.2,47.46,2532.4,47.21,,7/28/2023,5751,1.005295488
7/28/2023,Behavior Technician,5757,Georgia,843.26,38.33,2083.152,40.18,,7/28/2023,5757,0.953957193
7/28/2023,Behavior Technician,5762,Pacific Northwest,1058.85,47.06,2459.016,47.25,,7/28/2023,5762,0.995978836
7/28/2023,Behavior Technician,5773,Pacific Northwest,214.39,8.09,414.496,8.09,,7/28/2023,5773,1
7/28/2023,Behavior Technician,5788,Sacramento,828.15,36.66,1902.6,38.07,,7/28/2023,5788,0.962962963
7/28/2023,Behavior Technician,5797,Sacramento,250.74,13.93,735,13.75,,7/28/2023,5797,1.013090909
7/28/2023,Behavior Technician,5798,Central Valley,451.5,21.5,1093.76,20.32,,7/28/2023,5798,1.058070866
7/28/2023,Behavior Technician,5811,Central Valley,179.77,8.25,1739.584,31,,7/28/2023,5811,0.266129032
7/28/2023,Behavior Technician,5814,Ohio,971.88,46.28,2558.528,46,,7/28/2023,5814,1.006086957
7/28/2023,Behavior Technician,5815,Bay Area,1500,60,2898,58.3,,7/28/2023,5815,1.02915952
7/28/2023,Associate Behavior Technician,5816,Central Valley,99.63,5.4,338.144,6.65,,7/28/2023,5816,0.812030075
7/28/2023,Behavior Technician,5837,Ohio,1140.6,57.03,3265.28,60,,7/28/2023,5837,0.9505
7/28/2023,Behavior Technician,5839,Central Valley,126.42,6.02,246.4,4,,7/28/2023,5839,1.505
